"SYMBOL","Model"
"Gfi1b","GFI1B_MOUSE.H11MO.0.A"
"Gli1","GLI1_MOUSE.H11MO.0.C"
"Gli2","GLI2_MOUSE.H11MO.0.D"
"Gli3","GLI3_MOUSE.H11MO.0.D"
"Nr3c1","GCR_MOUSE.H11MO.0.A"
"Nr3c1","GCR_MOUSE.H11MO.1.A"
"Hand1","HAND1_MOUSE.H11MO.0.C"
"Hand1","HAND1_MOUSE.H11MO.1.C"
"Hes1","HES1_MOUSE.H11MO.0.D"
"Hesx1","HESX1_MOUSE.H11MO.0.D"
"Hey2","HEY2_MOUSE.H11MO.0.D"
"Foxq1","FOXQ1_MOUSE.H11MO.0.C"
"Foxd3","FOXD3_MOUSE.H11MO.0.C"
"Foxd3","FOXD3_MOUSE.H11MO.0.C"
"Foxf1","FOXF1_MOUSE.H11MO.0.D"
"Foxd1","FOXD1_MOUSE.H11MO.0.D"
"Hic1","HIC1_MOUSE.H11MO.0.C"
"Hif1a","HIF1A_MOUSE.H11MO.0.C"
"Hivep2","ZEP2_MOUSE.H11MO.0.D"
"Hmga1","HMGA1_MOUSE.H11MO.0.D"
"Hmga1","HMGA1_MOUSE.H11MO.0.D"
"Hmga2","HMGA2_MOUSE.H11MO.0.D"
"Nr4a1","NR4A1_MOUSE.H11MO.0.B"
"Foxa1","FOXA1_MOUSE.H11MO.0.A"
"Foxa2","FOXA2_MOUSE.H11MO.0.A"
"Foxa3","FOXA3_MOUSE.H11MO.0.A"
"Hnf4a","HNF4A_MOUSE.H11MO.0.A"
"Onecut1","HNF6_MOUSE.H11MO.0.A"
"Hoxa1","HXA1_MOUSE.H11MO.0.C"
"Hoxa10","HXA10_MOUSE.H11MO.0.C"
"Hoxa13","HXA13_MOUSE.H11MO.0.C"
"Hoxa5","HXA5_MOUSE.H11MO.0.D"
"Hoxa7","HXA7_MOUSE.H11MO.0.D"
"Hoxa9","HXA9_MOUSE.H11MO.0.B"
"Hoxb1","HXB1_MOUSE.H11MO.0.D"
"Hoxb4","HXB4_MOUSE.H11MO.0.A"
"Hoxb6","HXB6_MOUSE.H11MO.0.D"
"Hoxb7","HXB7_MOUSE.H11MO.0.C"
"Hoxb8","HXB8_MOUSE.H11MO.0.C"
"Hoxc6","HXC6_MOUSE.H11MO.0.D"
"Hoxc8","HXC8_MOUSE.H11MO.0.D"
"Hoxc9","HXC9_MOUSE.H11MO.0.A"
"Hoxd10","HXD10_MOUSE.H11MO.0.D"
"Hoxd13","HXD13_MOUSE.H11MO.0.D"
"Hoxd4","HXD4_MOUSE.H11MO.0.D"
"Hoxd9","HXD9_MOUSE.H11MO.0.D"
"Hsf1","HSF1_MOUSE.H11MO.0.A"
"Hsf1","HSF1_MOUSE.H11MO.1.A"
"Hsf2","HSF2_MOUSE.H11MO.0.A"
"Irf8","IRF8_MOUSE.H11MO.0.A"
"Irf1","IRF1_MOUSE.H11MO.0.A"
"Irf2","IRF2_MOUSE.H11MO.0.B"
"Irf4","IRF4_MOUSE.H11MO.0.A"
"Irf9","IRF9_MOUSE.H11MO.0.C"
"Isl1","ISL1_MOUSE.H11MO.0.A"
"Jun","JUN_MOUSE.H11MO.0.A"
"Junb","JUNB_MOUSE.H11MO.0.A"
"Jund","JUND_MOUSE.H11MO.0.A"
"Klf1","KLF1_MOUSE.H11MO.0.A"
"Klf3","KLF3_MOUSE.H11MO.0.A"
"Klf4","KLF4_MOUSE.H11MO.0.A"
"Mafb","MAFB_MOUSE.H11MO.0.B"
"Lef1","LEF1_MOUSE.H11MO.0.B"
"Lhx2","LHX2_MOUSE.H11MO.0.A"
"Lhx3","LHX3_MOUSE.H11MO.0.C"
"Lhx6","LHX6_MOUSE.H11MO.0.C"
"Zbtb7a","ZBT7A_MOUSE.H11MO.0.B"
"Sp7","SP7_MOUSE.H11MO.0.A"
"Lyl1","LYL1_MOUSE.H11MO.0.A"
"Smad1","SMAD1_MOUSE.H11MO.0.D"
"Smad2","SMAD2_MOUSE.H11MO.0.A"
"Smad3","SMAD3_MOUSE.H11MO.0.B"
"Smad4","SMAD4_MOUSE.H11MO.0.A"
"Maf","MAF_MOUSE.H11MO.0.A"
"Maf","MAF_MOUSE.H11MO.1.A"
"Maff","MAFF_MOUSE.H11MO.0.A"
"Maff","MAFF_MOUSE.H11MO.1.A"
"Mafg","MAFG_MOUSE.H11MO.0.A"
"Mafg","MAFG_MOUSE.H11MO.1.A"
"Mafk","MAFK_MOUSE.H11MO.0.A"
"Mafk","MAFK_MOUSE.H11MO.1.A"
"Ascl1","ASCL1_MOUSE.H11MO.0.A"
"Ascl2","ASCL2_MOUSE.H11MO.0.C"
"Max","MAX_MOUSE.H11MO.0.A"
